,,,
Portfolio,,,
,,,
LCA(전과정평가),현재,,
,2023,현대오일뱅크 바이오연료 ISCC 인증 대응,HD현대오일뱅크㈜
,2023,현대케미칼 바이오연료 ISCC 인증 대응,현대케미칼㈜
,2023,LCI DB 전면 개편 및 국제 플랫폼 등록 (2023년도),환경부
,2023,디앤케이켐텍 환경성적표지인증 컨설팅,(주)디앤케이켐텍
,2022,삼성전자 모니터 제품 UL EPD 인증 컨설팅,삼성전자㈜
,2022,삼성SDI 배터리 제품 대한 전과정평가 수행 및 카본트러스트 인증,삼성SDI㈜
,2022,에코프로 양극재 제품 전과정평가 수행 및 카본트러스트 인증 대응,㈜에코프로
,2022,아모레퍼시픽 제품에 대한 전과정평가 및 카본트러스트 인증 대응,㈜아모레퍼시픽
,2022,국가 LCI DB 전면개편 및 국제 플랫폼 등록,한국환경산업기술원
,2022,한화솔루션 EVA제품 환경성평가 및 ISCC인증 대응,한화솔루션㈜
,2022,SK picglobal PM 제품의 카본트러스트 인증 대응,SK picglobal
,2022,LG이노텍 제품 전과정평가 수행 및 환경부 환경성적표지인증 대응,LG이노텍㈜
,2022,정우화인 단열재 제품 환경성적표지인증,정우화인(주)
,2022,코스모폴 단열재 제품 환경성적표지인증,코스모폴㈜
,2022,하우테크 단열재 제품 환경성적표지인증,주식회사 하우테크
,2022,롯데마트 PB제품 (생수)에 대한 환경성적표지인증,롯데쇼핑㈜ 롯데마트사업부
,2022,포스코 협력사에 대한 환경성적표지인증 컨설팅,"한국환경산업기술원, 포스코"
,2022,포스코/동양에스텍 H형강 제품 환경성적표지인증 및 UL EPD 인증 컨설팅,포스코 / (주)동양에스텍
,2022,금성인슈텍 단열재 제품 환경성적표지인증 컨설팅,㈜금성인슈텍
,2022,서연이화 자동차 시트 제품 환경성적표지인증 컨설팅,서연이화
,2022,"단석산업 제품(바이오 디젤, 바이오 중유) ISCC인증 컨설팅",㈜단석산업
,2022,미래아우드 제품 환경성적표지인증 컨설팅,미래아우드
,2022,동양테이프 제품 환경성적표지인증 컨설팅,(주)동양테이프
,2022,인스팅터스 환경성적표지인증 컨설팅,(주)인스팅터스
,2022,에스에스케이_이마트PB제품 환경성적표지인증 컨설팅,(주)에스에스케이
